CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
31;N/D;ABRAZADERA METAL 1/2;S;105;
116;N/D;ABRAZADERA METAL 3/4;S;75;
185;N/D;ABRAZADERA METAL TIPO U 3/4;S;800;
1898-2;N/D;ABRAZADERA PRECINTA BL.3.6X200MM (100PZ)(TL31734);S;14;
1780-0;N/D;ABRAZADERA PRECINTA BL.3.6X300MM(100PZ)(TL31772);S;16;
1781-7;N/D;ABRAZADERA PRECINTA BL.7.2X300MM(100PZ)(TL33066);S;17;
1884-5;N/D;ABRAZADERA PRECINTA NEG.3.6X200MM(100PZ)(TL34527);S;15;
222;N/D;ABRAZADERA PRECINTA NEGRA 1.9X150MM;S;9;
1927-9;N/D;ABRAZADERA PRECINTA NEGRA 3,6X300MM (100PZ);S;7;
239;N/D;ABRAZADERA PRECINTA NEGRA 3.6X150MM *100;S;109;
246;N/D;ABRAZADERA PRECINTA NEGRA 4X200MM (50PZ);S;18;
253;N/D;ABRAZADERA PRECINTA NEGRA 5X250MM (100PZ);S;745;
1928-6;N/D;ABRAZADERA PRECINTA NEGRO 7.2X300MM (100PZ);S;18;
284;N/D;ABRIDOR 3 EN 1;S;15;
1876-0;N/D;AC-AURICULAR HECHO;S;45;
1875-3;N/D;AC-CABLE HECHO IOS;S;18;
1874-6;N/D;AC-CABLE HECHO MICRO USB V8;S;43;
1873-9;N/D;AC-CABLE HECHO TYPE C;S;43;
1878-4;N/D;AC-CARGADOR HECHO USB P/ AUTO;S;6;
1877-7;N/D;AC-CARGADOR HECHO USB PARED;S;16;
31-4;N/D;ACEITE 15W40 DIESEL 1L MINERAL;S;2;
34-5;N/D;ACEITE AW100 COMPRESOR A PISTàN 1L;S;2;
35-2;N/D;ACEITE AW150 COMPRESOR A PISTàN 1L;S;2;
36-9;N/D;ACEITE AW32 HIDRAULICO 1L;S;2;
42-0;N/D;ACEITE SAE40 DIESEL ESTACIONARIO 1L;S;2;
43-7;N/D;ACEITE SAE90 HIPOIDE GL4 1L;S;2;
44-4;N/D;ACOPLE P/BATERIA 1000 AMP;S;7;
46-8;N/D;ACOPLE P/BATERIA 2000 AMP;S;5;
47-5;N/D;ACOPLE P/BATERIA 500 AMP;S;7;
53-6;N/D;ADAPTADOR CODO ESTRIA/ESTRIA 0-1/2 (107890);S;102;
1840-1;N/D;ADAPTADOR CODO ESTRIA/ESTRIA 0-3/4 (107910);S;48;
1943-9;N/D;ADAPTADOR CODO ESTRIA/ESTRIA 1-0/0 (107912);S;12;
1841-8;N/D;ADAPTADOR CODO ESTRIA/ROSCA 0-1/2 (107800);S;50;
1842-5;N/D;ADAPTADOR CODO ESTRIA/ROSCA 0-3/4 (107820);S;20;
1944-6;N/D;ADAPTADOR CODO ESTRIA/ROSCA 1-0/0 (107830);S;46;
2037-4;N/D;ADAPTADOR CORTO 25X3/4 C/ROSCA EXTERNA;S;115;
2069-5;N/D;ADAPTADOR METAL P/PORTA FOCO E27XE40;S;23;
58-1;N/D;ADAPTADOR P/MANGUERA UNION 1/2 FAM./TRAM.;S;25;
1843-2;N/D;ADAPTADOR TE ESTRIA/ESTRIA 0-1/2 (109860);S;22;
55-0;N/D;ADAPTADOR TE ESTRIA/ESTRIA 0-3/4 (109870);S;24;
56-7;N/D;ADAPTADOR TE ESTRIA/ROSCA 0-1/2 (109810);S;42;
57-4;N/D;ADAPTADOR TE ESTRIA/ROSCA 0-3/4 (109820);S;62;
1945-3;N/D;ADAPTADOR TE ESTRIA/ROSCA 1-0/0 (109830);S;44;
59-8;N/D;ADAPTADOR UNION ESTRIA/ESTRIA 0-1/2 (110690);S;135;
1839-5;N/D;ADAPTADOR UNION ESTRIA/ESTRIA 0-3/4 (110710);S;147;
